id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4736800,Harvard & MIT- Sweet Retreat in Coolest Cambridge!,10732627,Suz,,Mid-Cambridge,42.3706,-71.10504,Entire home/apt,155,3,286,2022-12-24,4.16,1,205,62,
4753390,Live Large in Transformable Studio,21631889,Ling Yi,,The Port,42.36721,-71.0987,Entire home/apt,220,60,70,2022-09-03,0.74,12,180,3,C0194080491
4759313,Private Apartment. Dog friendly. Parking,24302173,Laurie,,Strawberry Hill,42.38019,-71.15465,Entire home/apt,180,2,69,2022-12-23,0.71,1,19,22,13233
4824130,Cambridge Modern Living,1800647,Saba,,Strawberry Hill,42.37734,-71.1486,Shared room,76,91,0,,,1,0,0,
4841421,"Huge classy 3BR Apt w/parking, sleeps 7",8618392,Bertha,,Cambridgeport,42.35679,-71.10917,Entire home/apt,271,3,57,2022-10-29,0.61,1,5,5,STR-13495
4894617,"Large, cozy 1BD in awesome location",25187338,Anshul,,Cambridgeport,42.35961,-71.10742,Private room,80,91,0,,,1,0,0,
4932029,Garden-level one-bedroom apartment,25407755,Nora,,North Cambridge,42.39805,-71.13249,Entire home/apt,179,2,471,2022-11-18,4.86,1,12,38,C0174070491
4954584,Elegant contemporary 2Br,21631889,Ling Yi,,The Port,42.36715,-71.09655,Entire home/apt,270,90,100,2022-07-30,1.04,12,270,4,C0193720491
4956321,Charming Third Floor Apartment,25547444,Susan,,Agassiz,42.38563,-71.11684,Entire home/apt,185,31,128,2022-07-29,1.33,1,225,3,STR-14778
4958294,HOLIDAY IN HARVARD SQUARE. EASY COMMUTE TO BOSTON,87398,Ari,,Neighborhood Nine,42.37931,-71.12179,Entire home/apt,229,3,17,2018-08-28,0.18,2,137,0,C0191060491
5016234,"Bright, Beautiful 2 Bed 2 Bath near Kendall/MIT",7388427,Upasana,,Wellington-Harrington,42.37198,-71.09177,Entire home/apt,118,180,1,2020-02-28,0.03,1,0,0,
5045782,"Furnished rm, Harvard/Porter Square",26049718,Rosalind,,Agassiz,42.3839,-71.11932,Private room,65,3,234,2022-11-20,2.43,1,42,20,
5320198,3 mo. min. Harvard Sq Room- Pvt. Ent/bth,7704595,Holly,,West Cambridge,42.37406,-71.12648,Private room,35,90,1,2021-05-17,0.05,1,1,0,
5666988,Sunny 3BD House near Harvard Square,19742431,Sarah,,West Cambridge,42.37456,-71.1334,Entire home/apt,440,30,34,2022-10-30,0.36,1,169,3,
5705842,Lux Corner 2Br near MIT/Kendall,21631889,Ling Yi,,The Port,42.36705,-71.0966,Entire home/apt,305,75,48,2022-05-10,0.52,12,270,1,C0194080491
5791244,Sunny Huron Village Apt. w/ Terrace,30045286,James,,West Cambridge,42.38308,-71.13517,Entire home/apt,191,3,347,2022-11-26,3.76,1,127,34,STR-13348
